"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mark2",4.3397156802934e-63,-3.67143576438738,0.294,0.999,5.14212910957965e-59,"Med.A1","Mark2"
"Il1rapl1",2.66816505618657e-62,-3.96506752872435,0.624,1,3.16150877507547e-58,"Med.A1","Il1rapl1"
"Dmd",3.8973654832035e-62,-3.70313951626195,0.872,1,4.61798836104782e-58,"Med.A1","Dmd"
"Dscam",4.83463035088958e-62,-4.13551532091138,0.826,0.997,5.72855350276907e-58,"Med.A1","Dscam"
"Ccser1",1.86963376355722e-61,-4.1589213963013,0.532,0.996,2.21532904643895e-57,"Med.A1","Ccser1"
"Cacna1c",2.05022351462615e-61,-4.22281276592881,0.872,0.999,2.42930984248053e-57,"Med.A1","Cacna1c"
"Arpp21",2.26612581725151e-61,-3.4916279970108,0.633,1,2.68513248086131e-57,"Med.A1","Arpp21"
"Jarid2",2.67536178971482e-61,-3.72732927869224,0.532,0.997,3.17003618463309e-57,"Med.A1","Jarid2"
"Efna5",3.48079420186333e-61,-4.33931411663458,0.339,0.996,4.12439304978786e-57,"Med.A1","Efna5"
"Adgrb3",3.68007689040087e-61,-3.67684234315661,0.743,1,4.36052310743599e-57,"Med.A1","Adgrb3"
"Ywhag",4.27143436391476e-61,1.8447858610591,1,0.997,5.0612225778026e-57,"Med.A1","Ywhag"
"Ogt",5.30739254796376e-61,-3.30598852136917,0.679,0.997,6.28872943008226e-57,"Med.A1","Ogt"
"Fgf14",5.66368717718166e-61,-3.74155109983497,0.477,0.993,6.71090293624254e-57,"Med.A1","Fgf14"
"Ralyl",9.01699215866363e-61,-3.43988596935869,0.826,0.999,1.06842340088005e-56,"Med.A1","Ralyl"
"Bcar3",1.33027888991394e-60,-2.74696001165196,0.789,1,1.57624745665903e-56,"Med.A1","Bcar3"
"Nbea",1.6530274427469e-60,-3.07695884416221,0.927,1,1.9586722169108e-56,"Med.A1","Nbea"
"Dgkb",1.74602163595355e-60,-3.9505079963528,0.67,0.993,2.06886103644136e-56,"Med.A1","Dgkb"
"Pde4d",2.54390621664643e-60,-3.43677386788429,0.716,0.999,3.01427447610436e-56,"Med.A1","Pde4d"
"Robo1",4.5171898922933e-60,-3.3953342788243,0.651,0.999,5.35241830337833e-56,"Med.A1","Robo1"
"Atp1b1",4.81658794929978e-60,1.94994609542568,1,1,5.70717506112531e-56,"Med.A1","Atp1b1"
"Erc2",5.02503177993572e-60,-3.54710995601021,0.899,1,5.95416015604584e-56,"Med.A1","Erc2"
"Tenm2",5.14102691486317e-60,-3.36073105900942,0.697,0.999,6.09160279142137e-56,"Med.A1","Tenm2"
"Mctp1",5.24887431378706e-60,-3.611809738927,0.743,0.997,6.21939117440629e-56,"Med.A1","Mctp1"
"Rbms3",9.20700960506159e-60,-3.43501342462118,0.752,0.997,1.09093856810375e-55,"Med.A1","Rbms3"
"Ppfia2",1.0395497210757e-59,-2.83313064447783,0.679,0.997,1.2317624645026e-55,"Med.A1","Ppfia2"
"Sorbs2",1.3847682809919e-59,-3.02464397624645,0.514,0.994,1.6408119361473e-55,"Med.A1","Sorbs2"
"Grm5",1.42777829758305e-59,-3.87837429477266,0.505,0.993,1.69177450480615e-55,"Med.A1","Grm5"
"Capn1",1.50458899718543e-59,-3.38861276589549,0.321,0.983,1.78278750276501e-55,"Med.A1","Capn1"
"Map1a",1.80326483800582e-59,1.77046850444235,1,1,2.13668850655309e-55,"Med.A1","Map1a"
"Ptprd",1.96308324268044e-59,-2.95946010526219,0.954,1,2.32605733425205e-55,"Med.A1","Ptprd"
"Dok6",2.60756590337139e-59,-4.68571460883747,0.202,0.98,3.08970483890477e-55,"Med.A1","Dok6"
"Ptprn2",4.15128141707639e-59,-2.70207624640311,0.917,0.997,4.91885335109381e-55,"Med.A1","Ptprn2"
"Csmd3",6.33975585144331e-59,-3.07447762711493,0.734,0.997,7.51197670837517e-55,"Med.A1","Csmd3"
"Gabra1",7.45413892996866e-59,1.96105936774571,1,0.989,8.83240921811987e-55,"Med.A1","Gabra1"
"Cacnb2",1.2423721156009e-58,-3.33346788063065,0.826,0.994,1.4720867197755e-54,"Med.A1","Cacnb2"
"Thy1",1.39420928974117e-58,1.84619029695341,1,0.999,1.65199858741431e-54,"Med.A1","Thy1"
"Cntnap2",1.6591348693905e-58,-2.77056085343477,0.826,1,1.9659089067408e-54,"Med.A1","Cntnap2"
"Dlgap1",1.73931675756072e-58,-3.16319621560528,0.954,0.999,2.0609164260337e-54,"Med.A1","Dlgap1"
"Rtn4",1.88561943406283e-58,1.53736886602165,1,0.999,2.23427046742105e-54,"Med.A1","Rtn4"
