,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Mark2,3.8331068284988595e-63,-3.7150814252182003,0.294,0.9990000000000001,9.335914991491818e-59,Med.A1,Mark2
ENSGALG00000046702,6.767414380604639e-63,-5.0199444163126,0.413,1.0,1.6482714465400697e-58,Med.A1,ENSGALG00000046702
Il1rapl1,2.0400621810007997e-62,-4.11463393656756,0.624,1.0,4.9687754480455385e-58,Med.A1,Il1rapl1
ENSGALG00000049148,2.4540179841424097e-62,-5.07163809748386,0.174,0.996,5.977006202177269e-58,Med.A1,ENSGALG00000049148
Dmd,3.2755031109255794e-62,-3.86686032784632,0.872,1.0,7.977815376970339e-58,Med.A1,Dmd
ENSGALG00000049605,3.57827820936611e-62,-4.6175244138838,0.165,0.997,8.715254406732097e-58,Med.A1,ENSGALG00000049605
Dscam,4.337321845052699e-62,-4.30886111762699,0.826,0.997,1.0563981085810399e-57,Med.A1,Dscam
ENSGALG00000049761,4.5779287185969e-62,-4.72908662860634,0.45899999999999996,0.997,1.1150003187014599e-57,Med.A1,ENSGALG00000049761
Arpp21,1.2735961208843799e-61,-3.6621678827606803,0.633,1.0,3.101970712025989e-57,Med.A1,Arpp21
Jarid2,1.5705042058763396e-61,-3.84807393918012,0.532,0.997,3.825120043832399e-57,Med.A1,Jarid2
Cacna1c,1.5706847245544697e-61,-4.37534097284777,0.872,0.9990000000000001,3.82555971512486e-57,Med.A1,Cacna1c
Ccser1,1.5841870158608497e-61,-4.306246936540069,0.532,0.996,3.858445895830679e-57,Med.A1,Ccser1
Adgrb3,1.9405220363305698e-61,-3.85452008562271,0.743,1.0,4.726335471686729e-57,Med.A1,Adgrb3
Efna5,2.3776552268060495e-61,-4.51649083647292,0.33899999999999997,0.996,5.79101707040882e-57,Med.A1,Efna5
Ogt,2.4083290435577297e-61,-3.4700424468449302,0.679,0.997,5.8657262184892e-57,Med.A1,Ogt
Gclm,2.7083423982625494e-61,-2.9177243808717,0.789,1.0,6.59643874520826e-57,Med.A1,Gclm
Fgf14,3.1433705639091995e-61,-3.93299714184721,0.47700000000000004,0.993,7.655993345457248e-57,Med.A1,Fgf14
Ralyl,3.7867676523338694e-61,-3.6246950117159105,0.826,0.9990000000000001,9.223051294024378e-57,Med.A1,Ralyl
Robo1,8.083754369947419e-61,-3.6263241196110694,0.6509999999999999,0.9990000000000001,1.9688792143443897e-56,Med.A1,Robo1
Nbea,1.0238904485824398e-60,-3.2532724906413595,0.927,1.0,2.4937875765673897e-56,Med.A1,Nbea
Dgkb,1.39912762341798e-60,-4.1110274623970895,0.67,0.993,3.407715239596839e-56,Med.A1,Dgkb
Pde4d,1.4681330247200298e-60,-3.59132834029365,0.716,0.9990000000000001,3.575784795008109e-56,Med.A1,Pde4d
Ywhag,1.7756209038086596e-60,1.71010914737938,1.0,0.997,4.324702273316379e-56,Med.A1,Ywhag
Tenm2,2.2659077518153993e-60,-3.5130294307142997,0.6970000000000001,0.9990000000000001,5.518844920321579e-56,Med.A1,Tenm2
ENSGALG00000050676,2.3438709201537494e-60,-3.8622572493534797,0.789,0.996,5.708732013126479e-56,Med.A1,ENSGALG00000050676
Mctp1,2.5203717246805095e-60,-3.74558079265645,0.743,0.997,6.138617372631839e-56,Med.A1,Mctp1
Ppfia2,2.5784232485084994e-60,-3.02048840555321,0.679,0.997,6.280007664067288e-56,Med.A1,Ppfia2
Erc2,3.0094499939376594e-60,-3.68137686014073,0.899,1.0,7.329816405234558e-56,Med.A1,Erc2
ENSGALG00000013505,3.890494529674959e-60,-2.32008496472494,1.0,1.0,9.475688476476328e-56,Med.A1,ENSGALG00000013505
Rbms3,5.599360325525879e-60,-3.6088698223959903,0.752,0.997,1.3637802008850799e-55,Med.A1,Rbms3
Sorbs2,5.907305575233519e-60,-3.14706633338223,0.514,0.9940000000000001,1.43878334590388e-55,Med.A1,Sorbs2
Ptprd,6.133913485477e-60,-3.0973038681604503,0.9540000000000001,1.0,1.49397596852278e-55,Med.A1,Ptprd
Grm5,7.021803052013439e-60,-4.02348335702963,0.505,0.993,1.71023035134839e-55,Med.A1,Grm5
Capn1,8.408042405296989e-60,-3.41773822806375,0.321,0.983,2.0478628082341395e-55,Med.A1,Capn1
Ptprn2,1.3387776979385997e-59,-2.86461991570108,0.917,0.997,3.2607269610992394e-55,Med.A1,Ptprn2
Csmd3,1.3391132696090097e-59,-3.2827217670297597,0.7340000000000001,0.997,3.2615442794596995e-55,Med.A1,Csmd3
ENSGALG00000047741,1.4206144420414196e-59,-4.4082250931154405,0.239,0.985,3.460048535036079e-55,Med.A1,ENSGALG00000047741
Dok6,1.5658062425984498e-59,-4.8264664540223,0.20199999999999999,0.98,3.813677684472779e-55,Med.A1,Dok6
ENSGALG00000035916,1.6179498737523897e-59,-3.25380038795924,0.8440000000000001,0.9940000000000001,3.940678712511319e-55,Med.A1,ENSGALG00000035916
ENSGALG00000050659,2.09135764144452e-59,-4.3197381118352,0.046,0.973,5.09371067150226e-55,Med.A1,ENSGALG00000050659
ENSGALG00000050013,2.13164151472308e-59,-3.5535401789606804,0.36700000000000005,0.99,5.191826073259539e-55,Med.A1,ENSGALG00000050013
Cntnap2,3.4996270783476497e-59,-2.95971587972644,0.826,1.0,8.523691712023528e-55,Med.A1,Cntnap2
Cacnb2,4.570537521136629e-59,-3.47438298941401,0.826,0.9940000000000001,1.1132001186480398e-54,Med.A1,Cacnb2
ENSGALG00000049178,4.754461640599989e-59,-3.9272317321283703,0.22899999999999998,0.982,1.1579966771845299e-54,Med.A1,ENSGALG00000049178
Brsk1,5.46762601962822e-59,-2.3514645862920402,0.982,1.0,1.3316949933406498e-54,Med.A1,Brsk1
ENSGALG00000050832,6.219071610694769e-59,-4.144532864008791,0.21100000000000002,0.982,1.5147170815008198e-54,Med.A1,ENSGALG00000050832
Plxna4,6.437999956739209e-59,-3.06827236333677,0.7609999999999999,0.996,1.5680392694633995e-54,Med.A1,Plxna4
Dlgap1,6.972175835503269e-59,-3.31309898990659,0.9540000000000001,0.9990000000000001,1.6981431464951797e-54,Med.A1,Dlgap1
Atp1b1,7.350762496029799e-59,1.83886457098935,1.0,1.0,1.7903517135330196e-54,Med.A1,Atp1b1
Map1a,8.703929054458488e-59,1.63491936491768,1.0,1.0,2.1199289605039097e-54,Med.A1,Map1a
Auts2,8.949636992383878e-59,-3.24424653140913,0.899,1.0,2.1797735858650196e-54,Med.A1,Auts2
Nhs,9.46755110606965e-59,-4.0063194470138,0.431,0.987,2.3059167473943195e-54,Med.A1,Nhs
Ryr2,1.1133904642885699e-58,-2.4756638715433597,0.982,1.0,2.71177381482125e-54,Med.A1,Ryr2
Dpp6,1.1219784588067898e-58,-3.8178402551238797,0.78,0.992,2.73269073426981e-54,Med.A1,Dpp6
Xkr4,2.1850089859518796e-58,-3.69796408067392,0.569,0.992,5.3218078861844e-54,Med.A1,Xkr4
Grik2,2.2658055383849595e-58,-2.8619710662822997,0.7340000000000001,1.0,5.518595969290409e-54,Med.A1,Grik2
Nova1,2.3110126826057398e-58,-1.89752697320679,0.982,1.0,5.628702489754549e-54,Med.A1,Nova1
Myt1l,3.6978695194136495e-58,-2.77368936933581,0.743,0.997,9.006531001483888e-54,Med.A1,Myt1l
Rbm10,4.5473274032960085e-58,-2.6226423958806,0.606,0.9990000000000001,1.1075470623467799e-53,Med.A1,Rbm10
Gabbr2,4.646418630607939e-58,-3.16790138788482,0.835,0.997,1.1316817216708697e-53,Med.A1,Gabbr2
Ldhb,5.7452208536763486e-58,1.78632818949445,1.0,0.958,1.3993059911214096e-53,Med.A1,Ldhb
Ankrd10,6.736866404777629e-58,-3.1705032296537596,0.294,0.992,1.6408311815476398e-53,Med.A1,Ankrd10
Nlgn4y,7.025959770704778e-58,-2.66437996920487,0.872,1.0,1.7112427617528598e-53,Med.A1,Nlgn4y
Gabra1,7.80563005165756e-58,1.8307594631097799,1.0,0.9890000000000001,1.9011392553817197e-53,Med.A1,Gabra1
