"","RNA.Med.A1","RNA.MedL.A1","RNA.IntP.A1","RNA.IntP.A2","RNA.IntX.A1","RNA.IntX.A2","RNA.IntX.A3","RNA.Med.B1","RNA.Med.B2","RNA.Med.B3","RNA.Med.B4","RNA.Med.B5","RNA.MedL.B1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntX.B1","RNA.IntX.B2"
"Panx2",33.6111195946397,107.376900467411,52.9852132638824,52.0003062935401,129.396250748257,66.7161604958009,100.804938306814,46.0603211021973,49.1537055581258,78.4655396582588,64.3257760034949,79.9604175783772,70.0033893185381,46.5018425554499,64.326021044763,109.668925277325,93.2351762088867
"2310057M21Rik",24.6268313618513,14.702945665719,12.9298358943838,15.0880882159374,20.9649237429552,9.67316928511301,8.05054924453736,72.4388540161958,10.8312067307151,14.4048924490822,9.52056966754189,5.4507263967215,22.6986551830306,30.522907740146,41.867589400489,10.3662336693039,30.7956543062684
"Wfikkn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamtor3",262.078246074875,58.6383574055897,33.9851743588323,71.5945708177014,65.7238324298706,57.6259190600541,70.05613599745,190.878887052888,62.3906656744914,50.4068908914534,52.9794407066456,44.8547989578816,107.270317446194,95.1424148039826,85.8445953733418,66.2154261495574,80.9177346870515
"Spr",132.259471493299,58.7490170677277,40.5104816740554,56.2504109920615,54.4497946296848,135.867788705072,106.153128015422,111.727222840257,100.715292689929,38.91851997008,73.5752129006832,47.839569797764,47.9045494377514,40.4406799591957,40.6568922924935,26.849460191942,93.2408665869659
"Timm17a",268.757086882944,71.7106722312689,84.5963807540474,45.0740895670023,54.8885761718896,47.6615565724489,78.0433856293146,233.045553155829,99.130289150645,45.6767038037238,27.0703689857052,28.2888951108166,56.2703347022407,35.0995228963076,127.150281601021,34.5810696901147,71.787264156443
"Ints4",19.0640104977653,33.5795201458543,24.8563248959516,75.3403060230597,42.1526753204313,41.9178759250273,40.921053263782,40.3048241094358,42.1649480051412,37.9092767553892,98.2318464283126,53.0124459197526,43.5666776401338,49.5705602271381,33.5241596219256,30.1901710326094,38.6115734305897
"Adipor1",182.423896818638,56.5907626016405,124.822339667141,96.4120639134621,82.3712355582661,99.6713118139562,46.6409600181504,134.098240530099,99.5269869682015,30.4857398433928,38.4172129001425,44.0258222345295,45.1920852132089,61.9543076881836,43.7900808918963,74.8133704977581,42.625329250621
"Ube2t",15.4645781914349,10.991278035717,17.0597411300177,31.4446906221405,8.15683511787067,0.634620852118111,11.2898133058534,23.6892397750744,7.88692032463154,1.98262243912309,6.88031299025456,13.3146682228136,8.00330631467003,14.0862616069479,29.5044482083012,7.36196339335399,4.97293933460895
"Lrif1",10.6641445449098,52.7770117498959,25.0549314410734,13.5373064001229,48.0719585799093,51.7851162944844,59.0464915621302,27.2711874545292,19.4880852739361,33.3042688059119,70.1915554549704,50.5401853367202,30.5180003612854,43.1481501772801,38.392908501809,55.099344770686,25.8519563825895
"Afmid",12.3923667349618,81.3336463006911,47.0818686379787,60.9453102320148,43.7378829686447,71.9752090450087,61.2185549880958,81.5363213020524,35.1042757624804,63.9213739890738,44.9853913677775,26.7822200847242,77.9415665370512,53.9873681933896,93.6099834060115,32.5824914063767,77.9629699098553
"Plp1",106.239168076363,47.528845652895,96.3149635600976,119.271655443078,94.4105134937844,58.9432699199685,43.7743425991681,150.643965490205,53.0442895469395,29.9743145197814,57.4759160165423,27.1913109085655,34.2518133244895,42.166755059443,119.929077022832,29.2786609976526,42.434441362163
"Slurp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp10",1.89237372562901,0.720445994933655,0.718543064518167,1.36875292755971,0.261631456116189,0.121384442981357,0.290249552269823,1.79342855961329,0.922651412519084,0.738983535981598,0,0.303756241869939,0.258416236840339,2.79909437576783,0.216287298744669,0.77599928489426,0.263251744782435
"Rack1",193.106954606613,57.6050857157634,114.450611773638,92.6266816588522,67.216593042818,107.968629678807,57.2599977499603,252.857223620653,94.7116460100455,32.8863259117591,49.4575612331109,17.5447482364159,53.4100516527158,25.908335389843,43.7316838593955,78.8271966866663,60.751900342949
"Tcf25",151.146683764274,167.184244117414,169.845828276755,127.732631770769,132.699186887057,173.462301596207,140.58776281367,236.492811516437,153.56574713314,191.323721145125,168.178431034107,123.838931829431,131.796125767525,150.750748466059,104.622148840647,146.406235702496,141.612063922926
"Cept1",139.223906825752,79.8293347023227,30.6323249567634,66.088991596332,62.2407798047656,102.89889625847,55.9795996472544,132.868598354913,148.912426125186,65.4856393468241,89.5374037197704,94.8209118583004,65.0883950235982,65.8670537269247,39.6050845741206,44.6956395287336,66.9630423171581
"Supt6",64.6370625200982,39.0159547946287,101.004964856277,28.8113632387544,36.5353707137002,32.5173807330616,55.7293157805178,52.8555501771752,106.634448984667,27.916303643157,50.4728851191423,34.9733766725563,45.216132804302,20.8750052281797,40.0542335729192,27.5517281096597,65.8723958482512
"Adamts19",12.6117461935454,802.88982804381,296.283076275226,343.103698482274,709.475632619286,513.016735451445,466.970680419053,145.612660261418,330.572002067642,361.660011898286,657.98799471494,394.605892213425,627.140721278414,712.392827134319,432.835031215093,643.521968603239,436.26400957831
"Dennd2d",0.44814396375688,1.79205704796786,0,0.104712524329955,0.757145834807229,0,1.68177287586891,0.138671175143913,3.80752175634012,0.525681973952668,0.227333487313882,0.672062437791078,0.471368078228685,0.797211892074118,0.130722063520807,0.101274836410633,0.205756409940889
"Brd2",45.9240669491184,35.080822172908,10.3531343641601,27.398589799561,30.5185727347693,14.7425014019042,32.1814975960078,47.6524942372233,34.328007980779,21.8020619796406,21.2872703839958,20.6238292643241,31.3148177258025,26.3184696613635,25.2909026746076,6.37739325384989,21.0560647401629
"H2-DMa",17.6864740679547,4.5758797232443,0.989394433716385,2.7656928906576,2.70270741324267,11.5025117334864,4.00741433565413,4.96520962378226,2.93452030155789,1.21256193759929,1.12349381362531,1.77597365905767,4.24314921873943,3.47816350979161,0.0743939681370634,1.17498054456581,2.10476576047412
"Isoc1",85.6888150084136,63.6580561893351,70.5911476162362,103.843636411064,102.142053692338,67.7551729345836,52.0823455857631,46.4508281978241,40.5295843943822,1.26516474483818,19.8687335815246,14.6551521239232,52.7006534223149,17.0649759006696,67.6569417886679,41.417941008963,22.4270410596455
"Mybph",0.602497822593705,0.119991322227576,0.752799389653824,0.132541214021853,0.765563956314635,16.1690478904722,0.276899578399691,0.138671175143913,0.605467205830627,0.098973623727224,0.041478564831702,0.0414279107125783,0.240555141846461,0.691244558177216,0.103299915810569,0,0.0975905326020822
"Adora1",44.0758837242978,1.6562275620754,0.397613942045203,8.31076436020814,6.5527578618634,23.0983453838145,2.15042042629182,53.8627244267155,9.23586785075923,5.74712322495262,4.90935477730539,16.5091875083037,23.2945618130849,2.0395093756246,3.77357161548018,1.51937627422449,9.8112106765996
"Myog",0.0243683979308696,0.0751463145188002,0,0,0,0,0,0,0.0883988840524877,0,0.0621933556599188,0.211598835841217,0,0,0,0.112664694658961,0.0668370878733261
"Slc27a6",2.06474787950273,0.983390942653613,1.58773727938216,0.988272340556312,0.740383541698748,0.546127002811735,1.077836017185,0.512670875804123,0.996908480607968,4.24053173846229,1.05611302956915,1.27533744007193,1.23726313379788,2.10287457064518,1.85016960137229,0.958774017175302,1.57088672178267
"Mtch1",6.00327645612581,1.45414512803994,20.0673634171333,11.6444550003611,13.6383894694374,6.13416814126078,10.5129786479961,14.3373604433396,11.2353035101958,17.1211061528232,3.01525559890129,6.62580135203016,6.41408430838668,16.0851292260402,0.529577328059349,7.89845117674875,4.78668297074562
"Ythdc2",12.7510963916687,126.94392160769,81.8799311334112,159.141390845143,171.960055717415,121.924703106115,205.548448655305,17.6117241364682,281.86372680531,255.027263819245,318.319500996777,336.74652111863,219.387240853768,228.112079670445,148.781321626175,243.584675427345,263.701573421764
"Slc23a2",171.836655039727,197.094539676401,129.879722150514,253.264373704031,204.982873412497,363.748169124576,201.337441322322,253.387238474987,249.020356574171,302.729692241609,314.614701830058,311.430137266479,254.789266904642,171.189738197293,259.354314298511,292.531714801418,257.610701390395
"Plekhm1",0.885843359216384,1.08151412020199,0.129578578069474,0.881546811189214,2.01248237771424,0.0706852054168618,0.754723855512762,10.6692737667801,1.54470289488465,0.784873475378693,1.31743834188171,0.218613125275572,2.91230195956992,0.35177118550759,5.31470552860177,0.217010486926004,0.598164923250261
"Mcc",55.2122045031492,78.9500939705614,125.552148839117,147.010286382303,64.0935791738379,100.368163909186,94.7683076636644,168.314006007455,70.553645033743,169.565492771385,161.407883710684,175.63732508449,105.483673869555,189.890264252891,99.8243371421688,174.856493006823,132.059680524209
"Prnp",607.066627320901,149.257195827982,249.974180796803,186.089566855558,194.520565710978,294.882102086009,187.245468412406,569.758527154698,162.961001775013,77.0211097575186,25.4206943453393,35.7604975374092,190.988662083213,65.3113549004191,216.766420982817,95.0478370186354,145.634595308572
