"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnip4",1.83986489565113e-76,0.757674808741889,1,1,2.18005591485703e-72,"Lat.B1","Kcnip4"
"Pde10a",7.90487776918025e-72,1.85192205893022,0.991,0.868,9.36648966870167e-68,"Lat.B1","Pde10a"
"Sorcs1",8.4148707483888e-65,1.12292489643921,1,0.993,9.97078034976589e-61,"Lat.B1","Sorcs1"
"Cdh8",2.51544140374501e-64,1.39898843761796,0.993,0.812,2.98054651929746e-60,"Lat.B1","Cdh8"
"Ebf2",1.12472081107726e-54,-2.83264230435818,0.768,0.938,1.33268168904545e-50,"Lat.B1","Ebf2"
"Lhfpl3",1.29307718754312e-51,0.670253273380596,1,0.993,1.53216715951985e-47,"Lat.B1","Lhfpl3"
"Ntng1",1.61868519232088e-47,0.847040228527185,1,0.934,1.91798008438101e-43,"Lat.B1","Ntng1"
"Nxph1",5.04256320449353e-46,-2.53498498947656,0.551,0.839,5.97493314100438e-42,"Lat.B1","Nxph1"
"Ebf3",5.50243316152689e-46,-1.70255384052418,0.563,0.872,6.51983305309321e-42,"Lat.B1","Ebf3"
"Edil3",1.7909222822915e-44,-1.68712330367241,0.821,0.921,2.1220638122872e-40,"Lat.B1","Edil3"
"Zbtb7c",2.5084373510492e-44,0.986814957586668,0.994,0.78,2.97224741725819e-40,"Lat.B1","Zbtb7c"
"ENSMUSG00000040606",8.67466092516629e-44,0.379520728994098,1,1,1.02786057302295e-39,"Lat.B1","ENSMUSG00000040606"
"Gulp1",3.98557253877863e-43,0.922440031420292,0.935,0.484,4.7225049011988e-39,"Lat.B1","Gulp1"
"Csmd1",1.40217806631052e-42,0.549806919430423,1,1,1.66144079077134e-38,"Lat.B1","Csmd1"
"Slc8a1",3.11465646266279e-42,-1.12692996963834,0.893,0.98,3.69055644260914e-38,"Lat.B1","Slc8a1"
"Dscaml1",4.51811842105091e-42,-1.57937205552902,0.826,0.961,5.35351851710322e-38,"Lat.B1","Dscaml1"
"Mdga2",1.48615677094727e-41,0.499276709930495,1,1,1.76094715789542e-37,"Lat.B1","Mdga2"
"Meis2",1.6699479042776e-41,0.803778915596367,0.994,0.898,1.97872127177853e-37,"Lat.B1","Meis2"
"Car10",1.59642346772846e-40,-1.63026554571565,0.75,0.908,1.89160216691145e-36,"Lat.B1","Car10"
"Flrt2",2.92411647859455e-39,0.910622254337719,0.88,0.461,3.46478561548668e-35,"Lat.B1","Flrt2"
"Galntl6",3.23268985670499e-39,-3.24259846728978,0.899,0.944,3.83041421120974e-35,"Lat.B1","Galntl6"
