"","RNA.Lat.B1","RNA.IntP.A1","RNA.IntP.B1","RNA.IntP.B2","RNA.IntA.B1","RNA.IntA.B2"
"Tspan6",1.03306529576964,0.0864292293762206,1.20823447606671,0.748703102127497,0.748213276473001,0.474890426149693
"Tnmd",0.202992622439673,0.242016736168856,0.822156463941653,0.144895512223748,0.286036294242952,3.15794908572439
"Scyl3",18.4723375023874,47.9348228532733,13.3035412200823,17.1966919353566,32.0828181715658,16.2158694564029
"BC055324",33.0372306336821,75.2347050830384,16.2081586117707,18.9220652496915,23.3723568495149,12.6148471947779
"Fgr",0.260833370896234,0.249823342807884,1.0551142576213,1.19626211410048,0.346792256878331,1.68925272147803
"Fuca2",8.75301951808207,6.03162878226522,6.8917785132708,5.25498211135297,15.7111818893746,6.56302366270703
"Gclc",55.7939224055417,44.8607870309149,78.1480085336339,62.9116777471152,83.3204663147139,58.7163659377039
"Nipal3",81.0860443598274,124.198273829047,68.0013278369276,52.0682631342593,75.6354341940311,77.5127567353598
"Las1l",24.1215862466735,28.296907268009,27.2790888983103,22.0209085598129,23.5435335386056,35.8160894233207
"Enpp4",12.0324263522294,13.3499637612674,23.1763915276452,11.4168220715149,12.0278087108489,4.73665515558881
"Sema3f",1.57878158999435,0.486522277474197,0.738143624491684,0.401786161730949,1.2801328723191,0.873747417330546
"Cftr",22.0876254162806,5.94891181093738,43.8782622470084,26.0050072948046,11.7229248562595,7.94038542764539
"Ankib1",430.698437942594,502.367656983781,503.695714215011,434.451335963584,510.970600772754,419.994522565976
"Cyp51",5.81914282801336,9.83518020718026,4.14587247140453,1.3080755395316,3.86113990248787,0.407451263012303
"Rad52",75.8867287584486,67.7227952581614,49.0578492732586,76.9603887237161,69.2460465888085,126.602622315512
"Lap3",6.16221104059434,13.7171583268457,8.18196547889185,6.22994602488758,13.409632642491,6.67564296793345
"Hs3st1",25.6054209737435,4.30654233153501,7.41020955860529,5.67394606071158,19.1186218225903,7.22428772469255
"Wnt16",0.778096920580602,2.52086899737261,0.233455651796986,0.177861696878847,0.0240809192091422,0.162348204428859
"Hecw1",608.864015476248,522.702073243381,591.924100571371,594.623028827376,625.185141881193,549.498215012711
"Mad1l1",90.287830545826,103.443402562177,65.9625425085456,83.2929484536631,52.5232287069396,79.1493414221203
"Lasp1",14.930137455153,17.4608896274888,14.1845391347943,11.4133741039719,19.3240054840464,14.6563876646124
"Snx11",4.87544674135765,4.74231599007256,3.33657683274926,1.61248352819238,10.2944931680715,5.56817683497871
"M6pr",19.2369910440623,49.4108978086175,25.9637870280715,15.263281809457,38.150762031463,9.04941736431928
"Cyp26b1",1.40900144245372,3.42793498841324,2.49895979433042,0,3.10595228093672,0.539089577060491
"Ica1",235.774112942661,178.458095589509,275.393969168945,196.543948482955,260.77911340113,169.017167061833
"Dbndd1",40.7077546009344,17.8651095973229,4.21500480962131,6.27125763846733,11.2616807602839,8.56507375684187
"Als2",111.53137863993,109.126439363262,111.4600632579,87.3035289665763,204.378198799802,104.912680848305
"Cflar",22.8711963916787,13.2609325991574,92.2926738013094,59.4545148928829,30.5967857278368,15.7769390451979
"Tfpi",0.474071655939539,0.0190731516399477,0.484002668586683,0.0296436161464746,0.308488810660574,0.679667003844351
"Ndufaf7",43.6304588140938,76.2823017115116,26.5574577618765,22.8920612096905,43.1087950304573,31.3117149191802
"Rbm5",80.5698072749811,122.699355495416,71.6266555803842,85.1079446221546,173.357984133125,65.6440382602058
"Mtmr7",192.999008215782,252.90073979623,188.08342617842,206.4182128631,202.496883214649,215.488663765241
"Slc7a2",18.0405619497137,0.921657526784906,1.40409764795353,1.59376228116647,22.3418597389523,57.1514781989906
"Poldip2",15.0795039763974,34.226699871076,14.4393258912782,14.9725663536173,16.6858527113027,17.235427721023
"Plxnd1",0.854376580077801,0.320960618625045,0.54693520130049,0.398694857235922,0.754682698807623,1.22411713190843
"Ak2",15.6186978716502,16.671458293259,10.7219229310936,14.3533788711208,21.6932645409392,5.89143048040442
"Cd38",3.45978714944348,2.66202063243803,4.38898292685952,4.41734457171861,1.20060176980176,5.08121012067925
"Fkbp4",4.81035235171583,9.99510438713722,14.5209367931076,15.6727121995028,12.2285758796472,2.85888933627851
"Kdm1a",7.132048759961,34.3615798687533,14.9865128561364,13.7766894286027,16.6378600084512,14.0844170398563
"Rbm6",554.755312432199,347.821705105272,412.729288521266,474.283735870602,521.790758242382,694.679795531217
"Camkk1",26.336140746567,62.6869043028555,27.9996522930745,40.3727390844384,32.1327642907089,38.464186486224
"Recql",12.1746033472107,14.9700970608575,6.53420473662552,4.77149851518759,25.987286397382,17.6162657749072
"Vps50",222.133897026125,147.873873930424,317.163305107592,160.591040516209,167.948783684331,311.047258512769
"Ndufab1",23.5388312365675,35.8340797279849,7.83000367117092,32.5790773805137,39.6792296273834,34.5289516968843
"Pdk4",1.35195629193993,0.0829037812082994,6.85111799639538,0.0550830106478765,2.68534362425539,0.126656572982177
"Slc22a16",1.42461875227871,0.539031924218761,2.28842340753988,3.00947669230384,0.955314861539322,3.27826060387089
"Zmynd10",0.61327196956311,0,0,0,1.03530127663,0
"Arx",0.0758184621622154,0.0251115051273676,0,0,0,0
"Slc25a13",164.941459576977,115.736789300155,119.190271138997,99.1472121217703,192.148959762118,109.109289747547
"St7",68.2700818469834,79.0154055264478,89.5039105796324,73.250333698145,129.186639753559,68.500172156279
"Cdc27",118.377179551576,155.880543450167,132.949246005634,120.804954886845,167.820496588953,160.806121324468
"Slc4a1",0.362195662431487,0.0617526512602247,0.487686351360564,0.650006993305197,0.370458354284458,1.17446176543705
"Calcr",1.5144583719237,2.4076630038,1.96683710573308,2.53431881887018,2.13502288426654,6.88869269319012
"Hccs",1.77059636271831,6.79215931097279,6.12931046397754,2.80842650604975,3.74092558144862,2.4608895808498
"Upf1",9.42800428769693,19.2304735034532,15.1073210784196,10.4042835900287,24.3457578809665,9.25577703926253
"Skap2",126.411717095883,94.9754144563082,162.742710113837,119.091977645782,100.631097796864,83.6676227887856
"Slc25a5",2.2972109325969,38.1812838554898,9.00147377414449,0.696724317863325,8.54268874214803,0.866853999595006
"Mcub",9.55615684801942,5.32834055570296,4.03016010895076,2.92626758956731,2.65244098440032,11.3118479125387
"Hoxa11",0.0502318556463315,0.0602913180019747,0.159584493457816,0.140801554387824,0.0279175176743455,0.169026400659345
"Dhx33",16.8065476365329,39.2445776816905,21.8389359771105,12.9132651419913,26.5128349145817,19.5086439145336
"Meox1",0.935250154832007,0.508662433315723,1.83681263628291,0.586253171112977,0.468872136993008,2.2490752194113
"Lig3",5.09022260986112,24.071355301437,7.70178417759323,8.02650310822691,8.75886283770936,7.66840939602484
"Rpap3",52.1631236696165,61.8662271996613,38.145812032877,22.1488435281588,45.4584386186747,41.1670781971676
"Acsm3",43.6643939397753,38.7653183407107,25.0885664030876,34.7735889952914,28.4798244899079,15.3102878208537
"Rexo5",1.68454154261639,0.0954598165720533,0.580042553838865,2.47036444270803,8.69017670515205,1.82553246519623
"Ciapin1",19.8383373476719,17.56502264972,18.1490045550816,12.9731622698918,25.0032866634242,12.6081292049086
"Sppl2b",44.8590202236591,99.4262870223083,47.5189311354664,58.8191185517768,123.502496955539,60.7455393944873
