"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Penk",2.02907225169185e-28,2.09649012591564,0.661,0.16,2.40424771102968e-24,"Med.A1","Penk"
"Inpp4b",6.51012246117e-27,-1.94606935963743,0.79,0.977,7.71384410424033e-23,"Med.A1","Inpp4b"
"Grm8",2.05958850732403e-23,-2.64789106351207,0.694,0.928,2.44040642232824e-19,"Med.A1","Grm8"
"Sorcs1",8.03338192053413e-23,-3.02339318486698,0.516,0.899,9.51875423764089e-19,"Med.A1","Sorcs1"
"Cntnap2",1.26651645969663e-21,-0.750687605703666,1,1,1.50069535309454e-17,"Med.A1","Cntnap2"
"Cdh18",2.18195976274534e-21,-1.27323994575464,0.984,1,2.58540412287696e-17,"Med.A1","Cdh18"
"Foxp2",4.67522923263827e-20,2.99597017272008,0.887,0.567,5.53967911775308e-16,"Med.A1","Foxp2"
"Epha5",1.24768700215627e-19,-1.64942103333455,0.742,0.954,1.47838432885497e-15,"Med.A1","Epha5"
"Fat3",6.54825056920945e-19,-1.71264101566373,0.79,0.947,7.75902209945628e-15,"Med.A1","Fat3"
"Csmd1",2.02570153932336e-18,-0.900072197200809,0.952,0.998,2.40025375394425e-14,"Med.A1","Csmd1"
"Cdh8",8.3476476889433e-18,-3.59395543189464,0.387,0.775,9.89112774662892e-14,"Med.A1","Cdh8"
"Sphkap",1.079208181741e-17,1.46953364340854,0.919,0.532,1.27875377454491e-13,"Med.A1","Sphkap"
"Unc5d",8.20826149204301e-17,1.3647202622451,0.952,0.766,9.72596904192176e-13,"Med.A1","Unc5d"
"Lsamp",1.84410956299496e-16,-0.819449958979479,1,0.997,2.18508542119273e-12,"Med.A1","Lsamp"
"Gpc6",3.19181283192082e-16,-1.63866522822287,0.806,0.944,3.78197902454298e-12,"Med.A1","Gpc6"
"Alcam",8.51449991732335e-16,1.40447199698602,0.968,0.659,1.00888309520364e-11,"Med.A1","Alcam"
"Tox",1.09052124050983e-15,1.17268333863939,0.726,0.306,1.29215861788009e-11,"Med.A1","Tox"
"Mgat4c",1.22544924569331e-15,0.704463491370282,1,0.899,1.452034811222e-11,"Med.A1","Mgat4c"
"Klhl1",6.11097257894181e-15,1.27819119695005,0.984,0.766,7.24089140878815e-11,"Med.A1","Klhl1"
"Grik2",6.91905654076017e-15,-0.831252058972686,1,0.998,8.19839009514673e-11,"Med.A1","Grik2"
"Htr2a",9.03163729124016e-15,1.94838188814093,0.323,0.068,1.07015870263905e-10,"Med.A1","Htr2a"
"Cntn3",1.27439338076022e-14,-1.85229227598517,0.581,0.84,1.51002871686279e-10,"Med.A1","Cntn3"
"Csmd3",2.85834674937334e-13,0.656783147079381,1,0.989,3.38685506333247e-09,"Med.A1","Csmd3"
"Unc5c",5.41337671987271e-13,0.733745885054897,1,0.939,6.41431007537718e-09,"Med.A1","Unc5c"
"Cabp1",6.99961984816774e-13,-1.46453018225682,0.371,0.784,8.29384955809396e-09,"Med.A1","Cabp1"
"Gabrg1",8.90393054865004e-13,1.51118369389909,0.694,0.328,1.05502673070954e-08,"Med.A1","Gabrg1"
"Syt1",1.17637432858007e-12,0.553252208700457,1,0.998,1.39388594193453e-08,"Med.A1","Syt1"
"Nlgn1",2.78145420422786e-12,-0.498371232245287,1,1,3.29574508658959e-08,"Med.A1","Nlgn1"
"Rab3c",4.21393430097603e-12,-0.970709659396379,0.887,0.977,4.9930907532265e-08,"Med.A1","Rab3c"
"Ptprd",4.29649135722547e-12,-0.86934151451664,0.968,0.995,5.09091260917645e-08,"Med.A1","Ptprd"
"Grin2b",6.62039032357983e-12,-1.05530626615414,0.597,0.906,7.84450049440974e-08,"Med.A1","Grin2b"
"Grik3",7.82510550703891e-12,1.02749592745959,0.887,0.596,9.2719675152904e-08,"Med.A1","Grik3"
"Ebf2",1.45773068025305e-11,0.771043108724808,0.903,0.53,1.72726508303184e-07,"Med.A1","Ebf2"
"Thsd7b",2.17208349844881e-11,1.02549102328031,0.968,0.899,2.573701737312e-07,"Med.A1","Thsd7b"
"Rasgrf2",2.46148461143822e-11,-1.39747812086879,0.452,0.793,2.91661311609314e-07,"Med.A1","Rasgrf2"
"Hs3st5",3.27403986583306e-11,-1.17755208528413,0.774,0.913,3.87940983702559e-07,"Med.A1","Hs3st5"
"Spp1",7.39583109479435e-11,-1.58268217115327,0.323,0.69,8.76332026422182e-07,"Med.A1","Spp1"
"Il1rapl1",1.19606617535178e-10,0.430077750717783,1,0.999,1.41721881117433e-06,"Med.A1","Il1rapl1"
"Nrg1",2.05909585562588e-10,0.488790034339871,1,0.997,2.43982267933111e-06,"Med.A1","Nrg1"
