"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Zfpm2",2.06134819373753e-65,1.38375146418663,0.963,0.713,1.10894348778498e-60,"ex_0","Zfpm2"
"Dcc",8.56075121986507e-62,-2.27714998250292,0.836,0.941,4.60542733375081e-57,"ex_0","Dcc"
"Stxbp2",5.43576491945425e-60,1.52747982618649,0.761,0.302,2.9242784537188e-55,"ex_0","Stxbp2"
"Kcnd3",2.32487464267754e-54,1.14313565510117,0.944,0.672,1.25071281152123e-49,"ex_0","Kcnd3"
"Gpc6",3.08515633566953e-52,0.723249671614609,0.996,0.932,1.65972155390014e-47,"ex_0","Gpc6"
"A730009L09Rik",3.45076092796087e-51,1.74320744824998,0.321,0.052,1.85640585641511e-46,"ex_0","A730009L09Rik"
"Crhr1",1.51970793915653e-47,0.897426772346797,0.925,0.54,8.17557280028038e-43,"ex_0","Crhr1"
"Man1a",4.4150114567158e-47,0.758404246961145,0.993,0.763,2.3751437133694e-42,"ex_0","Man1a"
"Kalrn",2.15468389504359e-45,0.669725404053182,1,0.959,1.1591552950166e-40,"ex_0","Kalrn"
"Rbm20",5.87221149197606e-41,0.737666985456599,0.978,0.739,3.15907361633836e-36,"ex_0","Rbm20"
"Pdgfc",2.10226690967658e-40,0.917055895757358,0.918,0.607,1.13095652939871e-35,"ex_0","Pdgfc"
"Khdrbs2",8.45397124003378e-40,-1.05605335309253,0.948,0.977,4.54798290800097e-35,"ex_0","Khdrbs2"
"Csmd2",2.04331215477859e-39,0.467794094731615,0.996,0.985,1.09924063990624e-34,"ex_0","Csmd2"
"Plekha5",4.2852141827773e-38,0.51643175555516,1,0.952,2.30531667390871e-33,"ex_0","Plekha5"
"2310002F09Rik",1.55689816455157e-37,1.24580328577871,0.705,0.376,8.37564505583806e-33,"ex_0","2310002F09Rik"
"Rnf207",6.95274303343499e-36,1.1592971989545,0.504,0.178,3.74036716969702e-31,"ex_0","Rnf207"
"Kcnma1",2.00217258002673e-34,0.34139085628073,1,0.998,1.07710878287698e-29,"ex_0","Kcnma1"
"Map7",2.93617292056085e-34,0.766965781625209,0.892,0.587,1.57957294607412e-29,"ex_0","Map7"
"Sorcs1",6.8684452503279e-34,0.542331705781756,1,0.873,3.6950174913189e-29,"ex_0","Sorcs1"
"Ntng1",3.43797246235435e-33,0.405338788076308,0.996,0.958,1.84952604557277e-28,"ex_0","Ntng1"
"Nkain3",6.73246499492847e-32,-1.37179490379233,0.761,0.891,3.62186419332167e-27,"ex_0","Nkain3"
"Ebf2",5.2062559083251e-30,-2.75623564761662,0.28,0.576,2.80080949100165e-25,"ex_0","Ebf2"
"Col16a1",1.11076765208023e-29,0.610911452121655,0.802,0.424,5.97559673789601e-25,"ex_0","Col16a1"
"9130019P16Rik",1.54829437973144e-29,1.07548360645694,0.735,0.423,8.32935927464125e-25,"ex_0","9130019P16Rik"
"Fign",1.6487893229733e-29,0.744223444738531,0.81,0.509,8.86999192079946e-25,"ex_0","Fign"
"Jam2",1.74720746948727e-29,1.01902330594985,0.604,0.289,9.39945202360064e-25,"ex_0","Jam2"
"Lsamp",4.18656103266884e-29,0.329701967880643,1,0.997,2.25224423874486e-24,"ex_0","Lsamp"
"Csmd1",4.527470794874e-29,0.330126191802742,1,0.996,2.43564346351837e-24,"ex_0","Csmd1"
"Abtb2",9.25152021305404e-29,0.743423805355886,0.925,0.735,4.97704032901668e-24,"ex_0","Abtb2"
"Sh3bp4",1.38813318534646e-28,0.793678122953789,0.709,0.371,7.46774009720833e-24,"ex_0","Sh3bp4"
"Inpp4b",2.53404622337993e-28,0.398782681198081,1,0.968,1.3632408467917e-23,"ex_0","Inpp4b"
"Kcnip4",2.57175879360979e-28,0.352344768569829,1,0.993,1.38352907819826e-23,"ex_0","Kcnip4"
"Sox5",3.50670656343581e-28,0.674012401157484,0.97,0.777,1.88650292993156e-23,"ex_0","Sox5"
"Trhde",3.70793162313347e-28,0.687800156222676,0.899,0.69,1.99475597529711e-23,"ex_0","Trhde"
"Gm43501",4.21045080750081e-28,0.949681820669066,0.31,0.084,2.26509622091121e-23,"ex_0","Gm43501"
"Pcdh9",6.30875701127193e-28,-0.406466199534515,1,1,3.39392200935396e-23,"ex_0","Pcdh9"
"Trpm3",1.25167711654455e-27,-2.63179931478887,0.731,0.863,6.73364738387472e-23,"ex_0","Trpm3"
"Ddo",2.14819806180911e-27,0.663488865585095,0.765,0.428,1.15566611131145e-22,"ex_0","Ddo"
"Mctp2",4.05531254489025e-27,0.662958705787183,0.91,0.643,2.18163648977461e-22,"ex_0","Mctp2"
"Rbfox1",3.53054936932186e-26,0.329578315772611,1,0.997,1.89932964421408e-21,"ex_0","Rbfox1"
"Kif26b",7.89730100380358e-26,0.527837254185894,0.97,0.819,4.24851102101621e-21,"ex_0","Kif26b"
"Rreb1",8.7274634605068e-26,0.656180679142396,0.896,0.638,4.69511351784884e-21,"ex_0","Rreb1"
"Fam13a",1.38590089435157e-25,0.555695023239513,0.966,0.727,7.45573104134314e-21,"ex_0","Fam13a"
"Grid2",1.68920925045299e-25,-0.552517152398599,1,0.998,9.08743900466193e-21,"ex_0","Grid2"
"Sv2c",1.97801318994613e-25,0.610434159563289,0.802,0.471,1.06411175579532e-20,"ex_0","Sv2c"
"Aff1",2.56179744070369e-25,0.537209446576711,0.959,0.741,1.37817016917537e-20,"ex_0","Aff1"
"Car10",2.68877404993925e-25,0.399185065803647,1,0.984,1.44647977564582e-20,"ex_0","Car10"
"Klhl29",4.39943878321833e-25,0.538741710091906,0.974,0.876,2.36676608220797e-20,"ex_0","Klhl29"
"Adgrb3",1.18270684002869e-24,-0.566320067082581,1,0.999,6.36260798730237e-20,"ex_0","Adgrb3"
"Fgf12",2.02460299432953e-24,0.398500973398893,1,0.992,1.08917567285946e-19,"ex_0","Fgf12"
"D7Ertd443e",2.64403500661059e-24,2.52410234519697,0.313,0.106,1.4224115125063e-19,"ex_0","D7Ertd443e"
"Cntn5",6.69797761570586e-24,-0.851110046366153,0.985,0.974,3.60331101792128e-19,"ex_0","Cntn5"
"Grm7",1.48964686353884e-23,-2.23676646667176,0.858,0.88,8.0138532317799e-19,"ex_0","Grm7"
"Pcsk5",1.52221153488882e-23,0.553748127334982,0.929,0.741,8.18904139424137e-19,"ex_0","Pcsk5"
