"","RNA.Med.A1","RNA.MedL.A1","RNA.MedL.A2","RNA.IntA.A1","RNA.IntP.A1","RNA.IntP.A2","RNA.Lat.A1","RNA.Med.B1","RNA.MedL.Bgly","RNA.MedDL.B1","RNA.IntA.B1","RNA.IntA.B2","RNA.IntP.B1","RNA.Lat.B1","RNA.Lat.B2"
"Xkr4",1205.5694212314,1828.21780180929,1197.47294975492,1707.6867957519,1352.18457965898,1528.11626339043,1179.42557995754,1312.17326142567,1620.50059500225,1538.61053816384,1431.26371064939,1649.39796400218,874.929891946486,1236.37649268447,1744.38424561857
"Sox17",0.0594592992399721,0,0.00305273981689032,0.0289803497207002,0.0298878177636194,0.00489380061168593,0,0.005851261951027,0.0103093183124091,0.0104624295514922,0,0,0,0.0165764938760975,0
"Mrpl15",37.3784783150931,55.9547568612248,53.6071272277287,65.9297463278718,32.2075910388776,39.6336539339039,44.9352084415824,29.217928540672,38.1799557652603,48.7018514670987,53.4085884344077,54.8657500731834,51.2313741452958,43.4876156546673,29.9072569777838
"Lypla1",0,0.00717256415402102,0.01514917269156,0.0478793975431166,0,0,0,0,0,0,0.00660426952816457,0.0256424039918242,0,0.00279111032255422,0.0148276735930239
"Tcea1",18.6564997842996,22.6758643862143,17.2157018597701,24.5219561871105,18.9588499146977,15.9798525446843,22.3102502718458,19.0763750713458,16.5612687507761,21.0074706850564,19.5418279586193,18.4427958540587,19.2799581913561,20.9938281577709,35.2466194386194
"Rgs20",104.318604395311,46.3657391315416,72.4368268148447,40.2549694435583,73.634189837101,74.3862165547251,82.8923148622786,41.4320574505765,17.0653000649585,32.8194989532883,28.4777250813982,23.9060756324026,24.5957408694801,30.1163224520994,46.502627773806
"Atp6v1h",325.70013085167,483.840008496238,478.971887853952,484.907158217111,548.080551166709,446.820505182615,554.965744456044,572.371435841144,469.277310125138,477.73703597221,561.235225134878,638.890668006191,556.527585492685,571.127614324633,565.16496529348
"Oprk1",3.81984662462035,0.265316804471494,29.9525596678911,10.9715311140381,5.51799965010944,9.45213560427303,16.3259430791838,2.46598259321053,20.698022817814,0.137832938300507,2.74144872864771,6.97701897137673,0,2.01374108353062,3.71701950353099
"Npbwr1",0,0,0.00305273981689032,0,0,0.0107063773708071,0,0,0,0,0,0,0,0,0
"Rb1cc1",248.299396809282,222.162383023152,196.599050691869,222.911059647513,223.789950548862,181.213952449581,220.170820528885,214.684237365176,179.567798035023,232.80689751162,193.219602367611,211.0879160086,185.910003624664,185.693236648791,182.07316887354
"St18",3.99144028836863,1.05924199841213,3.957761580115,1.53749505305317,0.799359096426992,13.8983112915998,0.915344107900342,12.9074181426912,4.41888566557874,1.33500644698835,1.06083877887685,1.59320863885239,22.1136316939199,1.58735291782013,1.05245143482639
"Pcmtd1",253.657161928065,196.390666711863,218.861648608741,198.476062798321,199.030882590379,166.630323489644,185.090896898818,166.286005955297,164.948363721366,174.25827291388,171.514390965855,180.735200224161,164.05871342166,164.671590930333,177.660708788662
"Sntg1",923.687618929823,1248.69459429644,1013.07247241846,1243.10690461869,1169.04376724966,879.793950581418,1115.63132588265,1031.50806378973,972.557471658309,1256.75754362004,1067.07343133474,1029.93026333697,945.921134580678,947.213343120118,1011.39630243402
"Rrs1",5.0015975760456,8.96848496784128,15.469960441108,4.27624444479245,9.5394782402821,7.03463911212547,3.47553242280424,3.71944526199329,4.79646435330441,5.8508061203353,7.17589099091787,10.0376950244435,5.08268756554917,10.3709012738985,1.07208800267169
"3110035E14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mybl1",2.90661881672825,8.15421046247393,10.4347326571252,2.5150931620971,2.05648262472885,3.81935922322747,4.52850827468494,8.72921098905854,5.79915301950599,10.3728229624453,6.2144083955586,5.82517851732947,14.1127493833669,6.3124428910654,6.35323563002316
"Vcpip1",57.3030232859424,34.6542477306781,31.6296534706598,38.0768755087437,58.8449286885456,25.7003115036963,43.1322302540384,28.2957960927927,46.7683864989897,32.7234871624635,38.4509727862637,33.6637519504961,44.0291659612605,34.3487299398493,41.9178098396666
